id,condition,time,Delta,Theta,Alpha,Beta,Gamma,Sum
27,easy,145,210775.0,20307.0,5772.0,2917.0,705.0,37
27,easy,146,82759.0,28605.0,11720.0,4370.0,2016.0,37
27,easy,147,9014.0,6752.0,21199.0,6503.0,4590.0,37
27,easy,148,320879.0,78264.0,27848.0,11362.0,4218.0,37
27,easy,149,20187.0,38820.0,18570.0,8881.0,3235.0,37
27,easy,150,494255.0,58908.0,14056.0,9938.0,6241.0,37
27,easy,151,88020.0,12943.0,15166.0,8714.0,6883.0,37
27,easy,152,19958.0,55282.0,39420.0,16086.0,3199.0,37
27,easy,153,291024.0,167920.0,19168.0,20366.0,12383.0,37
27,easy,154,70545.0,36042.0,40612.0,19733.0,5667.0,37
27,easy,155,87474.0,16298.0,15644.0,12611.0,4244.0,37
27,easy,156,4489.0,21622.0,34616.0,7520.0,16899.0,37
27,easy,157,251152.0,24242.0,3648.0,3901.0,1143.0,37
27,easy,158,3091.0,2250.0,14730.0,11139.0,9657.0,37
27,easy,159,9951.0,18759.0,9111.0,12651.0,4362.0,37
27,easy,160,3810.0,37070.0,17444.0,15355.0,5163.0,37
27,easy,161,10908.0,10087.0,11654.0,13151.0,4951.0,37
27,easy,162,85628.0,23117.0,12832.0,8341.0,7171.0,37
27,easy,163,3278.0,15615.0,35290.0,16281.0,5895.0,37
27,easy,164,6554.0,15517.0,25756.0,9978.0,5477.0,37
27,easy,165,224992.0,100614.0,17916.0,7405.0,4301.0,37
27,easy,166,105511.0,18718.0,5498.0,7470.0,1475.0,37
27,easy,167,137718.0,62352.0,47937.0,21093.0,6064.0,37
27,easy,168,11647.0,4914.0,1946.0,7222.0,4644.0,37
27,easy,169,25768.0,21340.0,17414.0,19747.0,8670.0,37
27,easy,170,268328.0,61476.0,17819.0,4375.0,1514.0,37
27,easy,171,41962.0,4921.0,19843.0,8029.0,4632.0,37
27,easy,172,39244.0,37375.0,28228.0,12534.0,7691.0,37
27,easy,173,1825594.0,175287.0,19882.0,20160.0,6040.0,37
27,easy,174,179721.0,63028.0,9025.0,3562.0,1333.0,37
27,easy,175,6029.0,12188.0,10011.0,21812.0,5568.0,37
27,easy,176,15921.0,14312.0,23951.0,17474.0,5118.0,37
27,easy,177,9913.0,1812.0,20618.0,8927.0,3997.0,37
27,easy,178,5027.0,20442.0,24797.0,14672.0,5716.0,37
27,easy,179,105273.0,70058.0,69334.0,12610.0,6879.0,37
27,easy,180,19133.0,32837.0,45791.0,26994.0,10017.0,37
27,easy,181,26814.0,16247.0,20174.0,9506.0,5641.0,37
27,easy,182,15696.0,6726.0,4493.0,14303.0,3648.0,37
27,easy,183,1440.0,12543.0,12529.0,10320.0,6905.0,37
27,easy,184,4092.0,32654.0,43074.0,17403.0,7420.0,37
27,easy,185,5384.0,17288.0,16247.0,19517.0,4306.0,37
27,easy,186,9308.0,10564.0,16223.0,10131.0,3448.0,37
27,easy,187,106855.0,219784.0,57783.0,28042.0,6120.0,37
27,easy,188,181669.0,44011.0,4742.0,2538.0,2279.0,37
27,easy,189,2116589.0,407912.0,130251.0,65129.0,15931.0,37
27,easy,190,695263.0,87372.0,7808.0,11051.0,4800.0,37
27,easy,191,398495.0,43613.0,29714.0,15939.0,22807.0,37
27,easy,192,4540.0,22462.0,17297.0,13750.0,5350.0,37
27,easy,193,85296.0,76491.0,27467.0,14785.0,9256.0,37
27,easy,194,35320.0,10190.0,7926.0,13220.0,8838.0,37
27,easy,195,383225.0,104639.0,40054.0,32606.0,6381.0,37
27,easy,196,97179.0,17451.0,10137.0,3645.0,2031.0,37
27,easy,197,172675.0,42938.0,4027.0,4581.0,1158.0,37
27,easy,198,97792.0,7451.0,9137.0,2549.0,1240.0,37
27,easy,199,106410.0,7956.0,18064.0,9832.0,7393.0,37
27,easy,200,525080.0,86664.0,42618.0,19001.0,3403.0,37
27,easy,201,454721.0,11643.0,74932.0,9481.0,6707.0,37
