,id,condition,Delta,Theta,Alpha,Beta,Gamma,Sum,segment,start,end
98,15,art,26872.56666666668,-10312.433333333334,-20429.066666666666,-26167.76666666666,-20434.26666666667,43.0,1.0,1.0,30.0
99,15,easy,154278.0666666667,17271.1,-8472.23333333333,6826.600000000006,-21292.36666666667,37.0,1.0,1.0,30.0
100,15,flow,16877.666666666686,16780.533333333333,-12693.366666666661,-3346.5,-17270.26666666667,35.0,1.0,1.0,30.0
101,15,free_recall,371259.7666666667,67515.79999999999,-7382.299999999996,6223.53333333334,-2512.800000000003,40.0,1.0,1.0,30.0
102,15,hard,16941.56666666668,24330.133333333324,-22311.23333333333,-22901.899999999994,-18129.36666666667,32.0,1.0,1.0,30.0
104,15,mindfulness,361623.1333333334,110163.79999999999,626.8666666666686,3107.866666666676,-4917.9000000000015,45.0,1.0,1.0,30.0
105,16,art,-87002.03333333333,-417.0333333333692,-10297.566666666666,-13690.833333333332,-6049.166666666664,45.0,1.0,1.0,30.0
106,16,easy,59442.06666666671,-7887.866666666683,-19982.933333333327,-11117.23333333333,-12206.299999999996,41.0,1.0,1.0,30.0
107,16,flow,224785.33333333337,17082.43333333332,-5328.299999999996,4634.200000000004,-10075.966666666664,45.0,1.0,1.0,30.0
108,16,free_recall,-211079.99999999997,-64881.033333333355,-25090.166666666664,-24405.299999999996,-14346.799999999996,45.0,1.0,1.0,30.0
109,16,hard,367020.70000000007,64598.09999999998,-2651.266666666663,41064.73333333334,-8898.33333333333,35.0,1.0,1.0,30.0
111,16,mindfulness,181803.46666666667,3846.9666666666308,-21182.36666666666,-13345.699999999997,-8760.566666666662,45.0,1.0,1.0,30.0
112,17,art,16619.733333333337,17414.533333333333,2578.6666666666606,6259.266666666666,4018.0666666666675,45.0,1.0,1.0,30.0
113,17,easy,204882.79999999993,61187.333333333336,14811.633333333335,9602.866666666669,4654.300000000001,37.0,1.0,1.0,30.0
114,17,flow,-63845.56666666668,13302.96666666666,9447.600000000002,10820.7,11564.533333333333,26.0,1.0,1.0,30.0
115,17,free_recall,431593.4666666667,80938.1,33414.13333333333,29881.0,34164.066666666666,39.0,1.0,1.0,30.0
116,17,hard,-103660.20000000004,23057.433333333327,3655.7000000000007,6872.5999999999985,11056.433333333334,36.0,1.0,1.0,30.0
118,17,mindfulness,248068.03333333333,88666.19999999998,33853.13333333333,27763.1,27291.466666666664,45.0,1.0,1.0,30.0
119,18,art,-51003.16666666666,-14463.73333333333,1588.7666666666628,-6771.399999999998,-390.59999999999854,35.0,1.0,1.0,30.0
120,18,easy,-28368.766666666634,3448.9000000000015,4813.799999999996,-2446.4333333333343,-570.7666666666628,36.0,1.0,1.0,30.0
121,18,flow,275987.43333333335,97948.63333333333,26774.299999999996,25636.8,15768.0,36.0,1.0,1.0,30.0
122,18,free_recall,-45147.533333333326,-3731.066666666673,-1357.9000000000015,-10366.2,-2016.366666666665,40.0,1.0,1.0,30.0
123,18,hard,-164953.36666666664,-21054.166666666664,-162.56666666667297,3229.4000000000015,8073.9000000000015,36.0,1.0,1.0,30.0
125,18,mindfulness,187450.89999999997,63358.73333333333,14292.533333333326,-430.5,1281.4000000000015,41.0,1.0,1.0,30.0
126,19,art,-83649.70000000001,-19893.300000000003,-10778.433333333334,2195.633333333333,4675.866666666667,42.0,1.0,1.0,30.0
127,19,easy,190186.80000000002,75538.4,10552.400000000001,16282.2,7059.666666666666,42.0,1.0,1.0,30.0
128,19,flow,322080.0333333333,55970.76666666667,21379.6,7245.766666666666,44738.66666666666,30.0,1.0,1.0,30.0
129,19,free_recall,152936.06666666668,-3115.666666666679,39987.49999999999,4939.800000000001,6062.9,41.0,1.0,1.0,30.0
130,19,hard,-7622.700000000012,35372.43333333333,7262.833333333336,12084.966666666664,8206.833333333334,26.0,1.0,1.0,30.0
132,19,mindfulness,94631.86666666667,24374.033333333333,16436.933333333334,12532.5,7539.233333333334,45.0,1.0,1.0,30.0
133,20,art,-458152.43333333335,-125806.93333333335,-46048.53333333333,-29886.6,-41173.63333333333,34.0,1.0,1.0,30.0
134,20,easy,-84630.56666666665,-24400.600000000006,-32406.966666666667,-16558.33333333333,-30947.166666666668,31.0,1.0,1.0,30.0
135,20,flow,466228.2333333335,323126.1666666666,112276.0,6048.433333333334,44229.36666666666,29.0,1.0,1.0,30.0
136,20,free_recall,-421028.70000000007,-116187.40000000001,-36715.20000000001,-23734.13333333333,-35788.200000000004,33.0,1.0,1.0,30.0
137,20,hard,166189.96666666667,106694.53333333335,31619.033333333326,24387.466666666674,4844.099999999991,26.0,1.0,1.0,30.0
139,20,mindfulness,-31440.76666666672,17262.0,-22967.86666666667,-14327.699999999997,-27980.26666666667,31.0,1.0,1.0,30.0
140,21,art,20560.266666666663,43.200000000004366,3452.3666666666686,19502.2,15058.699999999999,41.0,1.0,1.0,30.0
141,21,easy,124673.63333333333,23725.90000000001,5723.800000000003,2006.0333333333328,1403.3333333333321,36.0,1.0,1.0,30.0
142,21,flow,209365.30000000002,39346.100000000006,24907.03333333334,6174.366666666665,69572.06666666667,23.0,1.0,1.0,30.0
143,21,free_recall,21494.966666666674,14199.599999999999,7016.1666666666715,13610.2,9008.433333333332,31.0,1.0,1.0,30.0
144,21,hard,-12802.299999999988,-7343.066666666666,-1289.23333333333,2919.099999999995,2925.833333333332,19.0,1.0,1.0,30.0
